"Type","Path","Line","Text"
"Localhost","API_CONTRACT.md","483","""audioUrl"": ""http://localhost:5000/uploads/audio-1.mp3"","
"UrlWithPort","API_CONTRACT.md","483","""audioUrl"": ""http://localhost:5000/uploads/audio-1.mp3"","
"PortSetting","API_CONTRACT.md","499","**Port:** 5000"
"PortSetting","API_CONTRACT.md","533","**Port:** 5000"
"PortSetting","API_CONTRACT.md","560","**Port:** 5000"
"PortSetting","API_CONTRACT.md","591","**Port:** 5000"
"PortSetting","API_CONTRACT.md","625","**Port:** 5000"
"PortSetting","API_CONTRACT.md","664","**Port:** 5000"
"PortSetting","API_CONTRACT.md","693","**Port:** 5000"
"PortSetting","API_CONTRACT.md","715","**Port:** 5001"
"PortSetting","API_CONTRACT.md","762","**Port:** 5001"
"PortSetting","API_CONTRACT.md","791","**Port:** 5001"
"PortSetting","API_CONTRACT.md","827","**Port:** 5000"
"PortSetting","API_CONTRACT.md","857","**Port:** 5000"
"PortSetting","API_CONTRACT.md","895","**Port:** 5000"
"Localhost","API_CONTRACT.md","914","""url"": ""http://localhost:5000/uploads/poi-1.jpg"""
"UrlWithPort","API_CONTRACT.md","914","""url"": ""http://localhost:5000/uploads/poi-1.jpg"""
"PortSetting","API_CONTRACT.md","924","**Port:** 5000"
"Localhost","API_CONTRACT.md","943","""url"": ""http://localhost:5000/uploads/narration-1.mp3"""
"UrlWithPort","API_CONTRACT.md","943","""url"": ""http://localhost:5000/uploads/narration-1.mp3"""
"Localhost","brain/991fbd78-09a6-4715-a7a7-305131c73825/scratch/alter_pois.js","5","host: 'localhost',"
"PortSetting","brain/991fbd78-09a6-4715-a7a7-305131c73825/scratch/alter_pois.js","6","port: 3306,"
"HardcodedDomain","client/.env.production.admin","4","VITE_API_BASE_URL=https://api.bkpvp.top/api"
"HardcodedDomain","client/.env.production.admin","5","VITE_API_URL=https://api.bkpvp.top/api"
"HardcodedDomain","client/.env.production.admin","6","VITE_ADMIN_API_URL=https://api.bkpvp.top/api"
"HardcodedDomain","client/.env.production.admin","7","VITE_SOCKET_URL=https://api.bkpvp.top"
"HardcodedDomain","client/.env.production.admin","8","VITE_PUBLIC_APP_URL=https://bkpvp.top"
"HardcodedDomain","client/.env.production.admin","9","VITE_GUEST_APP_URL=https://bkpvp.top"
"HardcodedDomain","client/.env.production.mobile","4","VITE_API_BASE_URL=https://api.bkpvp.top/api"
"HardcodedDomain","client/.env.production.mobile","5","VITE_API_URL=https://api.bkpvp.top/api"
"HardcodedDomain","client/.env.production.mobile","6","VITE_ADMIN_API_URL=https://api.bkpvp.top/api"
"HardcodedDomain","client/.env.production.mobile","7","VITE_SOCKET_URL=https://api.bkpvp.top"
"HardcodedDomain","client/.env.production.mobile","8","VITE_PUBLIC_APP_URL=https://bkpvp.top"
"HardcodedDomain","client/.env.production.mobile","9","VITE_GUEST_APP_URL=https://bkpvp.top"
"HardcodedDomain","client/.env.production.vendor","4","VITE_API_BASE_URL=https://api.bkpvp.top/api"
"HardcodedDomain","client/.env.production.vendor","5","VITE_API_URL=https://api.bkpvp.top/api"
"HardcodedDomain","client/.env.production.vendor","6","VITE_ADMIN_API_URL=https://api.bkpvp.top/api"
"HardcodedDomain","client/.env.production.vendor","7","VITE_SOCKET_URL=https://api.bkpvp.top"
"HardcodedDomain","client/.env.production.vendor","8","VITE_PUBLIC_APP_URL=https://bkpvp.top"
"HardcodedDomain","client/.env.production.vendor","9","VITE_GUEST_APP_URL=https://bkpvp.top"
"Localhost","client/mobile-pwa/src/pages/ScanQR.jsx","176","<li>Đảm bảo bạn đang truy cập bằng kết nối bảo mật (<strong className=""text-teal-600"">HTTPS</strong>) hoặc chạy từ <strong className=""text-teal-600"">localhost</strong>.</li>"
"Localhost","client/README.md","22","VITE_API_BASE_URL=http://localhost:5000/api"
"UrlWithPort","client/README.md","22","VITE_API_BASE_URL=http://localhost:5000/api"
"PortSetting","client/src/admin/api/adminApi.js","394","// Force Vite HMR reload to pick up the port 45200 configuration from appConfig.js"
"Loopback","client/src/admin/data/adminMockData.js","304","ipAddress: '127.0.0.1',"
"Loopback","client/src/admin/data/adminMockData.js","316","ipAddress: '127.0.0.1',"
"Localhost","client/src/hooks/useUniversalScanner.ts","12","const isSecure = window.isSecureContext || window.location.hostname === 'localhost' || window.location.hostname === '127.0.0.1';"
"Loopback","client/src/hooks/useUniversalScanner.ts","12","const isSecure = window.isSecureContext || window.location.hostname === 'localhost' || window.location.hostname === '127.0.0.1';"
"Loopback","client/vite.config.js","46","host: env.VITE_DEV_HOST || '127.0.0.1',"
"PortSetting","client/vite.config.js","47","port: Number.isFinite(devPort) ? devPort : 5173"
"Localhost","database/apply_db.js","50","host: process.env.DB_HOST || 'localhost',"
"PortSetting","database/apply_db.js","51","port: Number(process.env.DB_PORT || 3306),"
"Localhost","database/COMPATIBILITY.md","5","- API khach .NET: `http://localhost:5000/api`"
"UrlWithPort","database/COMPATIBILITY.md","5","- API khach .NET: `http://localhost:5000/api`"
"Localhost","database/COMPATIBILITY.md","6","- Admin API Node.js: `http://localhost:5001/api/admin`"
"UrlWithPort","database/COMPATIBILITY.md","6","- Admin API Node.js: `http://localhost:5001/api/admin`"
"Localhost","database/COMPATIBILITY.md","7","- Frontend: `http://localhost:5173`"
"UrlWithPort","database/COMPATIBILITY.md","7","- Frontend: `http://localhost:5173`"
"Localhost","database/run_module2_migration.js","7","host: process.env.DB_HOST || 'localhost',"
"PortSetting","database/run_module2_migration.js","8","port: Number(process.env.DB_PORT || 3306),"
"Localhost","database/run_module5_migration.js","7","host: process.env.DB_HOST || 'localhost',"
"PortSetting","database/run_module5_migration.js","8","port: Number(process.env.DB_PORT || 3306),"
"Localhost","database/run_subscription_migration.js","7","host: process.env.DB_HOST || 'localhost',"
"PortSetting","database/run_subscription_migration.js","8","port: Number(process.env.DB_PORT || 3306),"
"Localhost","database/run_tickets_migration.js","7","host: process.env.DB_HOST || 'localhost',"
"PortSetting","database/run_tickets_migration.js","8","port: Number(process.env.DB_PORT || 3306),"
"Localhost","database/setup-local.sql","3","CREATE USER IF NOT EXISTS 'viettour_user'@'localhost' IDENTIFIED BY 'viettour_password';"
"Localhost","database/setup-local.sql","4","ALTER USER 'viettour_user'@'localhost' IDENTIFIED BY 'viettour_password';"
"Localhost","database/setup-local.sql","5","GRANT ALL PRIVILEGES ON viettuoraudio.* TO 'viettour_user'@'localhost';"
"HardcodedDomain","deployment/generated/hosts.json","2","""rootDomain"":  ""bkpvp.top"","
"TargetIp","deployment/generated/hosts.json","3","""serverIp"":  ""183.81.57.253"","
"HardcodedDomain","deployment/generated/hosts.json","5","""mobile"":  ""bkpvp.top"","
"HardcodedDomain","deployment/generated/hosts.json","6","""api"":  ""api.bkpvp.top"","
"HardcodedDomain","deployment/generated/hosts.json","7","""admin"":  ""admin.bkpvp.top"","
"HardcodedDomain","deployment/generated/hosts.json","8","""vendor"":  ""vendor.bkpvp.top"""
"HardcodedDomain","deployment/production.config.json","2","""rootDomain"": ""bkpvp.top"","
"TargetIp","deployment/production.config.json","3","""serverIp"": ""183.81.57.253"","
"Localhost","docs/API_GUIDE.md","8","http://localhost:5000/api"
"UrlWithPort","docs/API_GUIDE.md","8","http://localhost:5000/api"
"Localhost","docs/API_GUIDE.md","14","http://localhost:5000/swagger"
"UrlWithPort","docs/API_GUIDE.md","14","http://localhost:5000/swagger"
"Localhost","docs/API_GUIDE.md","65","Frontend local `http://localhost:5173` đã được allow trong `appsettings.json`."
"UrlWithPort","docs/API_GUIDE.md","65","Frontend local `http://localhost:5173` đã được allow trong `appsettings.json`."
"Localhost","docs/api-spec.md","5","Swagger local: `http://localhost:5000/swagger`."
"UrlWithPort","docs/api-spec.md","5","Swagger local: `http://localhost:5000/swagger`."
"Localhost","docs/BACKEND_DOTNET_GUIDE.md","62","""DefaultConnection"": ""server=localhost;port=3306;database=viettuoraudio;user=root;password=your_password;"""
"PortSetting","docs/BACKEND_DOTNET_GUIDE.md","62","""DefaultConnection"": ""server=localhost;port=3306;database=viettuoraudio;user=root;password=your_password;"""
"Localhost","docs/BACKEND_DOTNET_GUIDE.md","83","ConnectionStrings__DefaultConnection=""server=localhost;port=3306;database=viettuoraudio;user=prod_user;password=secret;"""
"PortSetting","docs/BACKEND_DOTNET_GUIDE.md","83","ConnectionStrings__DefaultConnection=""server=localhost;port=3306;database=viettuoraudio;user=prod_user;password=secret;"""
"Localhost","docs/BACKEND_DOTNET_GUIDE.md","110","http://localhost:5000/swagger"
"UrlWithPort","docs/BACKEND_DOTNET_GUIDE.md","110","http://localhost:5000/swagger"
"Localhost","docs/BACKEND_DOTNET_GUIDE.md","111","https://localhost:5001/swagger"
"UrlWithPort","docs/BACKEND_DOTNET_GUIDE.md","111","https://localhost:5001/swagger"
"Localhost","docs/DEPLOYMENT_GUIDE.md","35","CREATE USER 'viettour_prod'@'localhost' IDENTIFIED BY 'strong_password';"
"Localhost","docs/DEPLOYMENT_GUIDE.md","36","GRANT ALL PRIVILEGES ON viettuoraudio.* TO 'viettour_prod'@'localhost';"
"PortSetting","docs/DEPLOYMENT_GUIDE.md","44","listen 80;"
"Loopback","docs/DEPLOYMENT_GUIDE.md","55","proxy_pass http://127.0.0.1:5000/api/;"
"UrlWithPort","docs/DEPLOYMENT_GUIDE.md","55","proxy_pass http://127.0.0.1:5000/api/;"
"Localhost","docs/FRONTEND_GUIDE.md","14","http://localhost:5173"
"UrlWithPort","docs/FRONTEND_GUIDE.md","14","http://localhost:5173"
"Localhost","docs/FRONTEND_GUIDE.md","33","VITE_API_BASE_URL=http://localhost:5000/api"
"UrlWithPort","docs/FRONTEND_GUIDE.md","33","VITE_API_BASE_URL=http://localhost:5000/api"
"TargetIp","docs/PRODUCTION_DEPLOYMENT_WINDOWS.md","10","- Public IP của máy là `183.81.57.253`."
"HardcodedDomain","docs/PRODUCTION_DEPLOYMENT_WINDOWS.md","13","- Nameserver có thẩm quyền của `bkpvp.top` là Cloudflare"
"TargetIp","docs/PRODUCTION_DEPLOYMENT_WINDOWS.md","23","| A | `@` | `183.81.57.253` | DNS only |"
"TargetIp","docs/PRODUCTION_DEPLOYMENT_WINDOWS.md","24","| A | `api` | `183.81.57.253` | DNS only |"
"TargetIp","docs/PRODUCTION_DEPLOYMENT_WINDOWS.md","25","| A | `admin` | `183.81.57.253` | DNS only |"
"TargetIp","docs/PRODUCTION_DEPLOYMENT_WINDOWS.md","26","| A | `vendor` | `183.81.57.253` | DNS only |"
"HardcodedDomain","docs/PRODUCTION_DEPLOYMENT_WINDOWS.md","85","Cuối cùng phải dùng điện thoại thật mở `https://bkpvp.top`, chấp nhận quyền"
"UrlWithPort","docs/VISITOR_POI_MODULE.md","27","VITE_API_BASE_URL=http://192.168.1.10:5000/api"
"UrlWithPort","docs/VISITOR_POI_MODULE.md","28","VITE_PUBLIC_APP_URL=http://192.168.1.10:5173"
"Localhost","FINAL_SUMMARY.md","98","3. Test frontend loads at localhost:5173"
"Localhost","FINAL_SUMMARY.md","140","Portal: http://localhost:5173/admin"
"UrlWithPort","FINAL_SUMMARY.md","140","Portal: http://localhost:5173/admin"
"Localhost","FINAL_SUMMARY.md","149","Portal: http://localhost:5173/vendor"
"UrlWithPort","FINAL_SUMMARY.md","149","Portal: http://localhost:5173/vendor"
"Localhost","FINAL_SUMMARY.md","156","| .NET Visitor API | 5000 | http://localhost:5000 |"
"UrlWithPort","FINAL_SUMMARY.md","156","| .NET Visitor API | 5000 | http://localhost:5000 |"
"Localhost","FINAL_SUMMARY.md","157","| Node.js Admin API | 5001 | http://localhost:5001 |"
"UrlWithPort","FINAL_SUMMARY.md","157","| Node.js Admin API | 5001 | http://localhost:5001 |"
"Localhost","FINAL_SUMMARY.md","158","| Frontend (Vite) | 5173 | http://localhost:5173 |"
"UrlWithPort","FINAL_SUMMARY.md","158","| Frontend (Vite) | 5173 | http://localhost:5173 |"
"Localhost","FINAL_SUMMARY.md","159","| MySQL | 3306 | localhost:3306 |"
"Localhost","FINAL_SUMMARY.md","163","**Database Connection:** localhost:3306, user: root, password: (blank)"
"Localhost","FINAL_SUMMARY.md","164","**CORS Allowed:** localhost:5173, 127.0.0.1:5173, localhost:5174, 127.0.0.1:5174"
"Loopback","FINAL_SUMMARY.md","164","**CORS Allowed:** localhost:5173, 127.0.0.1:5173, localhost:5174, 127.0.0.1:5174"
"Localhost","FINAL_SUMMARY.md","180","| CORS | ✅ Configured | Allows localhost dev ports |"
"PortSetting","PROJECT_AUDIT.md","11","#### 1. .NET Core API (Port 5000)"
"PortSetting","PROJECT_AUDIT.md","30","#### 2. Node.js/Express Admin API (Port 5001)"
"PortSetting","PROJECT_AUDIT.md","44","#### 1. Main Client (React/Vite, Port 5173)"
"PortSetting","PROJECT_AUDIT.md","55","#### 2. Mobile PWA (Port 5173 or separate port)"
"PortSetting","PROJECT_AUDIT.md","125","- **Backend Route:** `POST /api/admin/auth/login` (viettour-admin-api, port 5001)"
"PortSetting","PROJECT_AUDIT.md","135","- **Backend Route:** `POST /api/vendor/auth/login` (viettour-admin-api, port 5001)"
"PortSetting","PROJECT_AUDIT.md","235","- Visitor API on port 5000 - need full endpoint list"
"Localhost","PROJECT_AUDIT.md","305","- ✅ .NET API allows: localhost:5173, localhost:5174, 127.0.0.1:5173, 127.0.0.1:5174"
"Loopback","PROJECT_AUDIT.md","305","- ✅ .NET API allows: localhost:5173, localhost:5174, 127.0.0.1:5173, 127.0.0.1:5174"
"Localhost","README.md","65","Neu dang dung XAMPP MySQL tren Windows, stack local hien duoc canh chinh de chay truc tiep voi `root` va mat khau rong tren `localhost:3306`."
"Localhost","README.md","71","Host: localhost"
"PortSetting","README.md","72","Port: 3306"
"Localhost","README.md","85","MySQL chay tai `localhost:3306`. phpMyAdmin chay tai <http://localhost:8080>."
"UrlWithPort","README.md","85","MySQL chay tai `localhost:3306`. phpMyAdmin chay tai <http://localhost:8080>."
"Localhost","README.md","118","VITE_API_BASE_URL=http://localhost:5000/api"
"UrlWithPort","README.md","118","VITE_API_BASE_URL=http://localhost:5000/api"
"Localhost","README.md","119","VITE_ADMIN_API_BASE_URL=http://localhost:5001/api"
"UrlWithPort","README.md","119","VITE_ADMIN_API_BASE_URL=http://localhost:5001/api"
"Localhost","README.md","120","VITE_VENDOR_API_BASE_URL=http://localhost:5001/api/vendor"
"UrlWithPort","README.md","120","VITE_VENDOR_API_BASE_URL=http://localhost:5001/api/vendor"
"Localhost","README.md","121","VITE_VENDOR_AUTH_API_BASE_URL=http://localhost:5001/api/vendor/auth"
"UrlWithPort","README.md","121","VITE_VENDOR_AUTH_API_BASE_URL=http://localhost:5001/api/vendor/auth"
"Loopback","README.md","134","dotnet run --urls http://0.0.0.0:5000"
"UrlWithPort","README.md","134","dotnet run --urls http://0.0.0.0:5000"
"Localhost","README.md","139","- Health: <http://localhost:5000/health>"
"UrlWithPort","README.md","139","- Health: <http://localhost:5000/health>"
"Localhost","README.md","140","- Swagger: <http://localhost:5000/swagger>"
"UrlWithPort","README.md","140","- Swagger: <http://localhost:5000/swagger>"
"Localhost","README.md","141","- POI: <http://localhost:5000/api/pois>"
"UrlWithPort","README.md","141","- POI: <http://localhost:5000/api/pois>"
"Localhost","README.md","154","Kiem tra health tai <http://localhost:5001/health>."
"UrlWithPort","README.md","154","Kiem tra health tai <http://localhost:5001/health>."
"Localhost","README.md","182","Mo <http://localhost:5173>."
"UrlWithPort","README.md","182","Mo <http://localhost:5173>."
"Localhost","README.md","247","- Frontend khong co du lieu: kiem tra <http://localhost:5000/health> va <http://localhost:5000/api/pois>."
"UrlWithPort","README.md","247","- Frontend khong co du lieu: kiem tra <http://localhost:5000/health> va <http://localhost:5000/api/pois>."
"HardcodedDomain","run.bat","8","set ""API_BASE_URL=http://bkpvp.top:%API_PORT%/api"""
"Localhost","run.bat","9","set ""DOTNET_CONNECTION=server=localhost;port=3306;database=viettuoraudio;user=root;password=;SslMode=None;AllowPublicKeyRetrieval=True;"""
"PortSetting","run.bat","9","set ""DOTNET_CONNECTION=server=localhost;port=3306;database=viettuoraudio;user=root;password=;SslMode=None;AllowPublicKeyRetrieval=True;"""
"Localhost","run.bat","22","echo [1/3] Checking database on localhost:3306..."
"Localhost","run.bat","25","echo   [OK]  Local MySQL is listening on localhost:3306"
"PortSetting","run.bat","27","echo   MySQL not detected on port 3306. Attempting to start..."
"Localhost","run.bat","50","echo   [WARN] No MySQL on localhost:3306 and docker is not available in PATH."
"HardcodedDomain","run.bat","58","start ""VietTourAudio - .NET API"" cmd /k ""pushd ""%ROOT%server\VietTourAudio.Api"" && set ASPNETCORE_ENVIRONMENT=Development && set ASPNETCORE_URLS=http://*:%API_PORT% && set ConnectionStrings__DefaultConnection=%DOTNET_CONNECTION% && set Storage__PublicBaseUrl=http://bkpvp.top:%API_PORT%/uploads && dotnet run --no-launch-profile"""
"HardcodedDomain","run.bat","59","echo   [OK]  Unified API : http://bkpvp.top:%API_PORT%"
"HardcodedDomain","run.bat","60","echo   [OK]  Swagger     : http://bkpvp.top:%API_PORT%/swagger"
"Localhost","scripts/Audit-ProductionHardcodes.ps1","19","Localhost = '(?i)\blocalhost\b'"
"PortSetting","scripts/Audit-ProductionHardcodes.ps1","24","PortSetting = '(?i)\b(?:port|listen|applicationUrl|ASPNETCORE_URLS)\b[^\r\n]{0,80}\b(?:80|443|3000|3001|3306|5000|5001|5173|5174|5175|5176|45200|8443)\b'"
"PortSetting","scripts/Deploy-ProductionIis.ps1","107","-Port 80 `"
"PortSetting","scripts/Deploy-ProductionIis.ps1","115","New-WebBinding -Name $definition.Site -Protocol http -Port 80 -HostHeader $definition.Host"
"Localhost","scripts/dev-start.sh","9","echo ""Database is running at localhost:3306"""
"Localhost","scripts/dev-start.sh","10","echo ""phpMyAdmin is running at http://localhost:${PHPMYADMIN_PORT:-8080}"""
"Localhost","scripts/Initialize-ProductionSecrets.ps1","56","CREATE USER IF NOT EXISTS '$DatabaseUser'@'localhost' IDENTIFIED BY '$databasePassword';"
"Localhost","scripts/Initialize-ProductionSecrets.ps1","57","ALTER USER '$DatabaseUser'@'localhost' IDENTIFIED BY '$databasePassword';"
"Loopback","scripts/Initialize-ProductionSecrets.ps1","58","CREATE USER IF NOT EXISTS '$DatabaseUser'@'127.0.0.1' IDENTIFIED BY '$databasePassword';"
"Loopback","scripts/Initialize-ProductionSecrets.ps1","59","ALTER USER '$DatabaseUser'@'127.0.0.1' IDENTIFIED BY '$databasePassword';"
"Localhost","scripts/Initialize-ProductionSecrets.ps1","60","GRANT ALL PRIVILEGES ON ``$DatabaseName``.* TO '$DatabaseUser'@'localhost';"
"Loopback","scripts/Initialize-ProductionSecrets.ps1","61","GRANT ALL PRIVILEGES ON ``$DatabaseName``.* TO '$DatabaseUser'@'127.0.0.1';"
"Loopback","scripts/Initialize-ProductionSecrets.ps1","100","ConnectionString = 'server=127.0.0.1;port=3306;database=$DatabaseName;user=$DatabaseUser;password=$databasePassword;SslMode=None;AllowPublicKeyRetrieval=False;GuidFormat=None;'"
"PortSetting","scripts/Initialize-ProductionSecrets.ps1","100","ConnectionString = 'server=127.0.0.1;port=3306;database=$DatabaseName;user=$DatabaseUser;password=$databasePassword;SslMode=None;AllowPublicKeyRetrieval=False;GuidFormat=None;'"
"Localhost","scripts/start-frontend.mjs","42","const requestPath = decodeURIComponent(new URL(request.url, 'http://localhost').pathname);"
"Loopback","scripts/start-frontend.mjs","61","server.listen(5173, '0.0.0.0', () => {"
"PortSetting","scripts/start-frontend.mjs","61","server.listen(5173, '0.0.0.0', () => {"
"Localhost","scripts/start-frontend.mjs","62","const url = 'http://localhost:5173';"
"UrlWithPort","scripts/start-frontend.mjs","62","const url = 'http://localhost:5173';"
"Localhost","scripts/Test-ProductionHardcodes.ps1","16","# Bundled dependencies may use the inert base ""http://localhost"" only for URL"
"Localhost","scripts/Test-ProductionHardcodes.ps1","19","$forbidden = '(?i)(?:https?|wss?)://(?:localhost|127\.0\.0\.1|0\.0\.0\.0):\d+|(?:https?|wss?)://183\.81\.57\.253(?::\d+)?|(?:https?|wss?)://(?:api\.)?bkpvp\.top:\d+|ngrok-free\.(?:app|dev)|ngrok-skip-browser-warning'"
"Localhost","server/README.md","20","""DefaultConnection"": ""server=localhost;port=3306;database=viettuoraudio;user=root;password=your_password;"""
"PortSetting","server/README.md","20","""DefaultConnection"": ""server=localhost;port=3306;database=viettuoraudio;user=root;password=your_password;"""
"Localhost","server/VietTourAudio.Api/appsettings.Development.json","9","""DefaultConnection"": ""server=localhost;port=3306;database=viettuoraudio;user=root;password=;SslMode=None;AllowPublicKeyRetrieval=True;GuidFormat=None;"""
"PortSetting","server/VietTourAudio.Api/appsettings.Development.json","9","""DefaultConnection"": ""server=localhost;port=3306;database=viettuoraudio;user=root;password=;SslMode=None;AllowPublicKeyRetrieval=True;GuidFormat=None;"""
"Localhost","server/VietTourAudio.Api/appsettings.Development.json","16","""PublicBaseUrl"": ""http://localhost:5000/uploads"""
"UrlWithPort","server/VietTourAudio.Api/appsettings.Development.json","16","""PublicBaseUrl"": ""http://localhost:5000/uploads"""
"Localhost","server/VietTourAudio.Api/appsettings.Development.json","20","""http://localhost:5173"","
"UrlWithPort","server/VietTourAudio.Api/appsettings.Development.json","20","""http://localhost:5173"","
"Loopback","server/VietTourAudio.Api/appsettings.Development.json","21","""http://127.0.0.1:5173"""
"UrlWithPort","server/VietTourAudio.Api/appsettings.Development.json","21","""http://127.0.0.1:5173"""
"HardcodedDomain","server/VietTourAudio.Api/appsettings.Production.json","3","""RootDomain"":  ""bkpvp.top"","
"TargetIp","server/VietTourAudio.Api/appsettings.Production.json","4","""ServerIp"":  ""183.81.57.253"","
"HardcodedDomain","server/VietTourAudio.Api/appsettings.Production.json","5","""ApiHost"":  ""api.bkpvp.top"","
"HardcodedDomain","server/VietTourAudio.Api/appsettings.Production.json","6","""AdminHost"":  ""admin.bkpvp.top"","
"HardcodedDomain","server/VietTourAudio.Api/appsettings.Production.json","7","""VendorHost"":  ""vendor.bkpvp.top"""
"HardcodedDomain","server/VietTourAudio.Api/appsettings.Production.json","10","""PublicBaseUrl"":  ""https://api.bkpvp.top/uploads"""
"HardcodedDomain","server/VietTourAudio.Api/appsettings.Production.json","14","""https://bkpvp.top"","
"HardcodedDomain","server/VietTourAudio.Api/appsettings.Production.json","15","""https://admin.bkpvp.top"","
"HardcodedDomain","server/VietTourAudio.Api/appsettings.Production.json","16","""https://vendor.bkpvp.top"""
"HardcodedDomain","server/VietTourAudio.Api/appsettings.Production.json","19","""AllowedHosts"":  ""api.bkpvp.top"""
"Localhost","server/VietTourAudio.Api/Program.cs","164","uri.Host.Equals(""localhost"", StringComparison.OrdinalIgnoreCase) ||"
"Localhost","server/VietTourAudio.Api/Properties/launchSettings.json","9","""applicationUrl"": ""http://localhost:5000"","
"PortSetting","server/VietTourAudio.Api/Properties/launchSettings.json","9","""applicationUrl"": ""http://localhost:5000"","
"UrlWithPort","server/VietTourAudio.Api/Properties/launchSettings.json","9","""applicationUrl"": ""http://localhost:5000"","
"PortSetting","SETUP_GUIDE.md","36","# Verify: Should show ""MySQL is running on port 3306"""
"Localhost","SETUP_GUIDE.md","47","mysql -h localhost -u root < schema.sql"
"Localhost","SETUP_GUIDE.md","50","mysql -h localhost -u root < seed.sql"
"Localhost","SETUP_GUIDE.md","53","mysql -h localhost -u root viettuoraudio -e ""SELECT COUNT(*) AS tables FROM information_schema.tables WHERE table_schema='viettuoraudio';"""
"Localhost","SETUP_GUIDE.md","64","mysql -h localhost -u root < migration-add-missing-tables.sql"
"Localhost","SETUP_GUIDE.md","69","mysql -h localhost -u root viettuoraudio -e ""SHOW TABLES;"""
"Localhost","SETUP_GUIDE.md","104","mysql -h localhost -u root viettuoraudio -e """
"Localhost","SETUP_GUIDE.md","138","""DefaultConnection"": ""server=localhost;port=3306;database=viettuoraudio;user=root;password=;SslMode=None;AllowPublicKeyRetrieval=True;"""
"PortSetting","SETUP_GUIDE.md","138","""DefaultConnection"": ""server=localhost;port=3306;database=viettuoraudio;user=root;password=;SslMode=None;AllowPublicKeyRetrieval=True;"""
"Localhost","SETUP_GUIDE.md","146","""PublicBaseUrl"": ""http://localhost:5000/uploads"""
"UrlWithPort","SETUP_GUIDE.md","146","""PublicBaseUrl"": ""http://localhost:5000/uploads"""
"PortSetting","SETUP_GUIDE.md","161","PORT=5001"
